Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1204   Time range: 09-Oct-2022 00:00:00.000 - 29-Jun-2023 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 221111_0339 11-Nov-2022 03:39:40 03:40:05 03:41:15    1.670     321.3297872340  n5 n4 n2 n3
 221111_0553 11-Nov-2022 05:53:00 05:54:31 05:57:18    7.303    2276.4457364341  n5 n3 n1 n4
 221111_0708 11-Nov-2022 07:08:01 07:10:22 07:22:55   32.177    7490.2516778523  n1 n3 n0 n5
 221111_0731 11-Nov-2022 07:31:27 07:32:28 07:33:18    4.392     469.9459459459  n5 n1 n3 n0
 221111_0904 11-Nov-2022 09:04:57 09:06:51 09:13:14   11.466    1912.3802816901  n5 n3 n1 n4
 221111_1133 11-Nov-2022 11:33:10 11:35:02 11:37:49   18.407    3017.7849462366  n5 n4 n2 n1
 221111_1203 11-Nov-2022 12:03:20 12:05:27 12:08:40    6.016     606.4984326019  n5 n3 n1 n0
 221111_1348 11-Nov-2022 13:48:40 13:49:21 13:49:53   14.137    3055.7945205479  n5 n1 n3 n0
 221111_1831 11-Nov-2022 18:31:12 18:35:56 18:40:06    7.812    1195.5430711610  n5 n3 n1 n4
 221112_0013 12-Nov-2022 00:13:20 00:16:41 00:22:17   13.406     865.5363128492  n5 n4 n2 n1
 221112_0220 12-Nov-2022 02:20:06 02:21:20 02:27:49   11.547     923.2505399568  n1 n0 n3 n5
 221112_1511 12-Nov-2022 15:11:32 15:12:17 15:13:43    1.156     206.5038167939  n5 n1 n3 n0
 221112_1634 12-Nov-2022 16:34:53 16:35:21 16:43:29    1.384     252.2868217054  n5 n3 n1 n0
 221112_1801 12-Nov-2022 18:01:14 18:02:29 18:16:15   41.079    3445.1420643729  n0 n1 n3 n5
 221112_1818 12-Nov-2022 18:18:59 18:20:37 18:21:14    1.813     293.6296296296  n5 n1 n3 n0
 221113_0202 13-Nov-2022 02:02:56 02:04:30 02:08:52    2.771     414.0955056180  n5 n3 n1 n0
 221113_0312 13-Nov-2022 03:12:00 03:12:00 03:13:26    8.193    1353.5581395349  n5 n4 n2 n1
 221113_0454 13-Nov-2022 04:54:04 04:54:04 04:54:36    3.750     734.1818181818  n5 n3 n1 n4
 221113_1907 13-Nov-2022 19:07:37 19:08:18 19:11:01    2.605     301.7414634146  n5 n1 n3 n4
 221113_2222 13-Nov-2022 22:22:10 22:22:39 22:24:58    2.205     254.7916666667  n5 n1 n3 n0
 221113_2357 13-Nov-2022 23:57:12 23:58:34 00:04:59    1.198     205.1349036403  n5 n3 n1 n4
 221114_0037 14-Nov-2022 00:37:17 00:40:21 00:42:52    0.949     151.9642857143  n5 n4 n2 n3
 221114_0206 14-Nov-2022 02:06:51 02:07:32 02:08:33    1.728     248.6862745098  n5 n1 n3 n0
 221114_0351 14-Nov-2022 03:51:40 03:53:14 03:53:59    3.647     343.8129496403  n5 n4 n2 n3
 221114_0638 14-Nov-2022 06:38:54 06:40:00 06:41:50    1.365     277.3693181818  n5 n3 n1 n0
 221114_1127 14-Nov-2022 11:27:25 11:31:47 11:32:41    1.826     298.6603174603  n1 n3 n5 n0
