Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1201   Time range: 06-Jul-2012 00:00:00.000 - 13-Jan-2014 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 120708_1201  8-Jul-2012 12:01:55 12:09:34 12:23:52  286.423   20900.3690205011  n0 n3 n1 n6
 120708_1342  8-Jul-2012 13:42:02 13:43:16 13:47:01    9.604     665.6789297659  n5 n3 n1 n0
 120708_1350  8-Jul-2012 13:50:42 13:52:12 13:56:14  136.965    3667.7048192771  n5 n3 n1 n0
 120708_1517  8-Jul-2012 15:17:28 15:20:49 15:27:47    4.880     467.2233009709  n5 n1 n3 n0
 120708_1639  8-Jul-2012 16:39:08 16:40:24 17:24:07   47.563    4727.9303187546  n5 n4 n2 n1
 120708_1724  8-Jul-2012 17:24:44 17:31:51 17:38:04   63.981    7856.2925000000  n5 n4 n2 n3
 120708_1817  8-Jul-2012 18:17:00 18:36:39 18:53:15    3.823     224.7002298851  n1 n3 n5 n0
 120708_1901  8-Jul-2012 19:01:55 19:05:36 19:08:12    6.893     709.2519893899  n5 n1 n3 n4
 120708_1952  8-Jul-2012 19:52:30 20:37:13 20:39:49    6.296     243.0612891863  n5 n3 n1 n4
 120708_2129  8-Jul-2012 21:29:29 22:08:24 22:14:08   14.671     279.9563269877  n5 n1 n3 n0
 120708_2308  8-Jul-2012 23:08:54 23:14:01 23:32:11    5.825     657.3054363376  n5 n3 n1 n4
 120709_0039  9-Jul-2012 00:39:32 00:39:57 00:40:54    1.133     163.6219512195  n5 n4 n2 n1
 120709_0041  9-Jul-2012 00:41:14 00:44:56 01:01:47    4.576     318.1427412814  n5 n1 n3 n4
 120709_0104  9-Jul-2012 01:04:11 01:04:39 01:05:29    1.713     206.3974358974  n1 n3 n0 n5
 120709_0111  9-Jul-2012 01:11:29 01:12:10 01:13:44    1.002     175.8148148148  n1 n3 n5 n0
 120709_0123  9-Jul-2012 01:23:38 01:23:46 01:24:35    0.922     168.4210526316  n5 n1 n3 n4
 120709_0309  9-Jul-2012 03:09:51 03:10:14 03:11:12    3.670    1125.8271604938  n5 n4 n2 n3
 120709_0411  9-Jul-2012 04:11:11 04:11:44 04:12:21    1.437     208.8714285714  n1 n3 n0 n5
 120709_0523  9-Jul-2012 05:23:30 05:30:32 05:37:01    6.256     380.4710234279  n5 n3 n1 n4
 120709_0543  9-Jul-2012 05:43:55 05:49:35 05:59:45    1.876     242.0378947368  n3 n1 n5 n0
 120709_0704  9-Jul-2012 07:04:46 07:09:41 07:18:09    8.597     528.9128268991  n5 n1 n3 n4
 120709_0836  9-Jul-2012 08:36:32 09:02:16 09:06:14    1.875     130.3260381594  n3 n1 n5 n0
 120709_0910  9-Jul-2012 09:10:36 09:21:56 09:33:07    6.883     616.7603550296  n5 n3 n1 n4
 120709_1029  9-Jul-2012 10:29:19 10:36:33 10:49:06    0.767     150.6069023569  n1 n3 n0 n5
 120709_1208  9-Jul-2012 12:08:26 12:10:37 12:23:35    2.296     304.0176017602  n3 n1 n5 n0
 120709_1339  9-Jul-2012 13:39:06 13:41:13 14:02:51   10.808     501.0575438596  n5 n1 n3 n0
 120709_1529  9-Jul-2012 15:29:53 15:33:51 15:39:31    1.063     193.2889273356  n5 n3 n1 n0
 120709_1947  9-Jul-2012 19:47:02 19:50:02 19:54:39   11.512    2681.6170678337  n5 n1 n3 n4
 120709_2157  9-Jul-2012 21:57:14 21:57:46 21:58:52    5.315     419.2551020408  n5 n3 n1 n0
 120709_2305  9-Jul-2012 23:05:15 23:06:50 23:38:18  359.706    9712.0131180626  n5 n1 n3 n0
 120710_0044 10-Jul-2012 00:44:00 00:45:34 00:47:41    0.829     170.3619909502  n5 n3 n1 n0
 120710_0124 10-Jul-2012 01:24:12 01:25:10 01:28:26    2.433     288.2401574803  n5 n4 n2 n3
 120710_0340 10-Jul-2012 03:40:37 03:40:51 03:44:18   17.222    4094.6244343891  n5 n4 n2 n1
 120710_0408 10-Jul-2012 04:08:29 04:09:51 04:14:54    6.483     437.8103896104  n3 n1 n5 n0
 120710_0432 10-Jul-2012 04:32:14 04:33:24 04:39:37   25.687    3431.9230769231  n5 n4 n2 n3
 120710_0516 10-Jul-2012 05:16:09 05:16:21 05:45:18    5.676     365.5671812464  n5 n4 n2 n3
